Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Arabica,China,3,60,2015.0,Natural / Dry,8.0,8.0,8.0,7.83,10.0,7.83,10.0,10.0,7.75,7.92,85.33,0.1,0,0.0,Green,0
Arabica,Guatemala,36,30,2014.0,Natural / Dry,7.83,7.75,7.83,7.67,10.0,7.83,10.0,10.0,8.58,7.83,85.33,0.11,0,0.0,Green,1
Arabica,Costa Rica,250,1.5,2014.0,Washed / Wet,7.92,8.08,8.0,7.92,9.33,8.0,10.0,10.0,8.08,8.0,85.33,0.0,0,0.0,Bluish-Green,0
Arabica,Costa Rica,250,1.5,2014.0,Washed / Wet,8.0,7.58,7.58,7.67,10.0,8.08,10.0,10.0,8.5,7.92,85.33,0.1,0,0.0,Bluish-Green,2
Arabica,Kenya,20,60,2012.0,Washed / Wet,7.83,8.08,7.75,8.08,10.0,7.92,10.0,10.0,7.75,7.92,85.33,0.0,0,0.0,Green,2
Arabica,Kenya,300,60,2012.0,Washed / Wet,8.0,7.92,7.92,8.08,10.0,7.83,10.0,10.0,7.75,7.83,85.33,0.0,0,0.0,Green,6
Arabica,Ethiopia,360,6,2009.0,,7.83,7.83,7.92,8.08,10.0,7.75,10.0,10.0,7.83,8.08,85.33,0.05,0,0.0,,2
Arabica,Ethiopia,300,6,2010.0,,7.92,7.83,7.75,8.33,10.0,7.75,10.0,10.0,7.75,8.0,85.33,0.1,0,0.0,,3
Arabica,Guatemala,250,69,2016.0,,8.0,7.92,7.75,8.0,10.0,7.92,10.0,10.0,7.83,7.83,85.25,0.1,0,2.0,Green,2
Arabica,Colombia,275,70,2015.0,Washed / Wet,8.17,7.92,7.83,8.0,10.0,7.58,10.0,10.0,7.83,7.92,85.25,0.11,0,0.0,Green,0
Arabica,Colombia,250,70,2014.0,Natural / Dry,7.58,8.08,7.92,7.83,10.0,8.0,10.0,10.0,7.92,7.92,85.25,0.12,0,0.0,Green,2
Arabica,Indonesia,54,60,2012.0,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,10.0,8.08,10.0,10.0,7.83,8.0,85.17,0.11,0,0.0,Green,3
Arabica,Guatemala,250,1,2012.0,Washed / Wet,8.25,8.0,7.67,7.92,10.0,7.75,10.0,10.0,7.67,7.92,85.17,0.0,0,0.0,,7
Arabica,Ethiopia,320,19200,2016.0,Natural / Dry,7.75,8.0,7.58,8.0,10.0,8.0,10.0,10.0,7.92,7.83,85.08,0.11,0,1.0,Green,8
Arabica,Colombia,250,70,2015.0,Natural / Dry,8.17,7.83,7.58,8.08,10.0,8.0,10.0,10.0,7.75,7.67,85.08,0.0,0,0.0,,0
Arabica,Ethiopia,100,60,2014.0,Natural / Dry,8.42,8.0,7.42,8.0,10.0,7.92,9.33,10.0,7.92,8.08,85.08,0.1,2,0.0,Green,7
Arabica,United States (Hawaii),12,50,2014.0,Natural / Dry,7.58,7.83,7.83,7.92,10.0,7.83,10.0,10.0,8.17,7.92,85.08,0.11,2,0.0,Bluish-Green,2
Arabica,Colombia,250,70,2012.0,Natural / Dry,7.83,8.0,7.75,7.75,10.0,7.83,10.0,10.0,7.83,8.08,85.08,0.11,0,0.0,Green,8
Arabica,United States (Hawaii),13,50,2011.0,,8.08,8.17,7.92,8.0,10.0,8.08,9.33,9.33,8.0,8.17,85.08,0.01,1,0.0,,7
Arabica,Ethiopia,360,6,2010.0,,7.67,8.0,7.83,8.0,10.0,7.92,10.0,10.0,7.83,7.83,85.08,0.0,0,0.0,,5
Arabica,United States (Hawaii),27,0,,,7.5,7.92,8.25,7.83,10.0,7.92,10.0,10.0,7.75,7.92,85.08,0.0,0,0.0,,0
Arabica,Uganda,200,60,2016.0,Washed / Wet,8.17,7.92,7.75,7.75,10.0,7.67,10.0,10.0,7.75,8.0,85.0,0.11,0,0.0,Green,1
Arabica,Colombia,135,70,2016.0,Washed / Wet,8.0,7.92,7.75,7.92,10.0,7.75,10.0,10.0,7.83,7.83,85.0,0.0,0,0.0,Green,3
Arabica,Costa Rica,36,46,2016.0,Washed / Wet,7.83,8.0,7.58,7.92,10.0,7.92,10.0,10.0,7.83,7.92,85.0,0.12,1,1.0,Green,1
Arabica,Mexico,1,30,2015.0,Washed / Wet,7.83,8.0,7.83,7.75,10.0,7.67,10.0,10.0,7.83,8.08,85.0,0.09,0,0.0,Green,3
Arabica,Kenya,170,60,2015.0,Washed / Wet,8.17,7.83,7.92,7.75,10.0,7.67,10.0,10.0,7.83,7.83,85.0,0.11,0,5.0,Green,7
Arabica,Kenya,38,60,2012.0,Washed / Wet,7.75,7.83,7.75,8.08,10.0,8.0,10.0,10.0,7.75,7.83,85.0,0.0,0,0.0,Green,5
Arabica,Brazil,31,60,2012.0,Natural / Dry,8.0,8.0,7.83,7.83,10.0,7.67,10.0,10.0,7.67,8.0,85.0,0.12,0,0.0,Green,3
Arabica,Mexico,1,1,2011.0,,7.92,8.17,7.75,8.08,10.0,7.42,10.0,10.0,7.83,7.83,85.0,0.0,0,0.0,,0
Arabica,United States (Hawaii),15,50,,,7.75,7.92,7.75,7.75,10.0,8.0,10.0,10.0,8.0,7.83,85.0,0.0,0,0.0,,1
Arabica,Guatemala,275,69,2009.0,,7.83,8.08,7.67,8.0,10.0,7.75,10.0,10.0,7.67,8.0,85.0,0.04,0,0.0,,1
Arabica,Colombia,243,70,2016.0,Washed / Wet,7.92,7.92,7.67,7.83,10.0,7.92,10.0,10.0,7.83,7.83,84.92,0.0,1,6.0,,2
